epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2781.17,1.91171,2.42697,2.31471,0.31514,0.07509,0.07689,0.04127,1.73672,2.3113,2.23002,0.00108475,0.00108475,0.00108475
75,2831.01,1.85447,2.29103,2.30148,0.38908,0.09424,0.10155,0.05853,1.72191,2.43165,2.28806,0.00108004,0.00108004,0.00108004
76,2888.39,1.91941,2.39873,2.314,0.26537,0.06743,0.08673,0.04295,1.78083,2.38765,2.30977,0.00107532,0.00107532,0.00107532
77,2951.5,1.96328,2.39048,2.37541,0.22662,0.04945,0.0752,0.04485,1.75971,2.36707,2.31979,0.00107061,0.00107061,0.00107061
78,3012.19,1.88638,2.34176,2.31613,0.46141,0.09262,0.07756,0.05452,1.77502,2.52508,2.30374,0.00106589,0.00106589,0.00106589
79,3066.44,1.80771,2.35941,2.24354,0.46596,0.07509,0.07936,0.05141,1.8111,2.53516,2.31877,0.00106118,0.00106118,0.00106118
80,3119.08,1.823,2.34963,2.3543,0.39353,0.07509,0.07499,0.04504,1.71947,2.49815,2.30103,0.00105646,0.00105646,0.00105646
81,3174.78,1.77245,2.35812,2.24121,0.3951,0.07509,0.07491,0.04495,1.79072,2.87055,2.39346,0.00105174,0.00105174,0.00105174
82,3284.02,1.73792,2.32126,2.21458,0.31971,0.07326,0.07499,0.04071,1.78088,2.62472,2.35488,0.00104703,0.00104703,0.00104703
83,3332.93,1.79515,2.33478,2.18929,0.34304,0.0989,0.09327,0.05792,1.76603,2.48341,2.28484,0.00104231,0.00104231,0.00104231
84,3392.67,1.81483,2.26483,2.28865,0.27183,0.0989,0.10544,0.06444,1.78455,2.09713,2.31968,0.0010376,0.0010376,0.0010376
85,3444.9,1.77788,2.3827,2.26817,0.1527,0.08366,0.05198,0.02908,1.75254,2.39286,2.30974,0.00103288,0.00103288,0.00103288
86,3502.29,1.8237,2.23462,2.26196,0.31464,0.12036,0.11106,0.05602,1.82271,2.36914,2.34829,0.00102817,0.00102817,0.00102817
